CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment_Name
12346.0,326,1,77183.6,1,1,4,114,🛒 Occasional Shoppers
12347.0,2,7,4310.0,4,4,4,444,🏆 High-Value Champions
12348.0,75,4,1797.24,2,3,4,234,🛒 Occasional Shoppers
12349.0,19,1,1757.55,3,1,4,314,🛒 Occasional Shoppers
12350.0,310,1,334.4,1,1,2,112,⚠️ At-Risk / Lost
12352.0,36,8,2506.04,3,4,4,344,🏆 High-Value Champions
12353.0,204,1,89.0,1,1,1,111,⚠️ At-Risk / Lost
12354.0,232,1,1079.4,1,1,3,113,🛒 Occasional Shoppers
12355.0,214,1,459.4,1,1,2,112,⚠️ At-Risk / Lost
12356.0,23,3,2811.43,3,3,4,334,🔄 Loyal Regulars
12357.0,33,1,6207.67,3,1,4,314,🛒 Occasional Shoppers
12358.0,2,2,1168.06,4,2,3,423,🛒 Occasional Shoppers
12359.0,58,4,6310.03,2,3,4,234,🛒 Occasional Shoppers
12360.0,52,3,2662.06,2,3,4,234,🛒 Occasional Shoppers
12361.0,287,1,189.9,1,1,1,111,⚠️ At-Risk / Lost
12362.0,3,10,5226.23,4,4,4,444,🏆 High-Value Champions
12363.0,110,2,552.0,2,2,2,222,🛒 Occasional Shoppers
12364.0,8,4,1313.1,4,3,3,433,🔄 Loyal Regulars
12365.0,291,2,641.38,1,2,2,122,🛒 Occasional Shoppers
12367.0,4,1,168.9,4,1,1,411,🛒 Occasional Shoppers
12370.0,51,4,3541.94,3,3,4,334,🔄 Loyal Regulars
12371.0,45,2,1887.96,3,2,4,324,🛒 Occasional Shoppers
12372.0,72,3,1298.04,2,3,3,233,🛒 Occasional Shoppers
12373.0,311,1,364.6,1,1,2,112,⚠️ At-Risk / Lost
12374.0,25,1,742.9300000000001,3,1,3,313,🛒 Occasional Shoppers
12375.0,11,2,457.5,4,2,2,422,🛒 Occasional Shoppers
12377.0,315,2,1628.12,1,2,3,123,🛒 Occasional Shoppers
12378.0,130,1,4008.62,2,1,4,214,🛒 Occasional Shoppers
12379.0,82,2,852.24,2,2,3,223,🛒 Occasional Shoppers
12380.0,22,4,2724.81,3,3,4,334,🔄 Loyal Regulars
12381.0,5,5,1845.31,4,3,4,434,🏆 High-Value Champions
12383.0,185,5,1850.56,1,3,4,134,🛒 Occasional Shoppers
12384.0,29,2,585.27,3,2,2,322,🛒 Occasional Shoppers
12386.0,338,2,401.9,1,2,2,122,🛒 Occasional Shoppers
12388.0,16,6,2780.66,4,4,4,444,🏆 High-Value Champions
12390.0,80,1,549.84,2,1,2,212,🛒 Occasional Shoppers
12391.0,22,1,439.66,3,1,2,312,🛒 Occasional Shoppers
12393.0,72,4,1582.6000000000001,2,3,3,233,🛒 Occasional Shoppers
12394.0,64,2,1272.48,2,2,3,223,🛒 Occasional Shoppers
12395.0,19,12,3018.63,3,4,4,344,🏆 High-Value Champions
12397.0,36,2,2409.9,3,2,4,324,🛒 Occasional Shoppers
12398.0,46,1,1635.6599999999999,3,1,3,313,🛒 Occasional Shoppers
12399.0,119,4,1108.65,2,3,3,233,🛒 Occasional Shoppers
12401.0,303,1,84.3,1,1,1,111,⚠️ At-Risk / Lost
12402.0,323,1,225.6,1,1,1,111,⚠️ At-Risk / Lost
12403.0,50,1,427.7,3,1,2,312,🛒 Occasional Shoppers
12405.0,149,1,1710.39,1,1,4,114,🛒 Occasional Shoppers
12406.0,22,2,3415.3,3,2,4,324,🛒 Occasional Shoppers
12407.0,50,5,1708.1200000000001,3,3,4,334,🔄 Loyal Regulars
12408.0,33,5,2888.55,3,3,4,334,🔄 Loyal Regulars
12409.0,79,3,11072.67,2,3,4,234,🛒 Occasional Shoppers
12410.0,309,2,693.3299999999999,1,2,3,123,🛒 Occasional Shoppers
12412.0,75,3,1226.88,2,3,3,233,🛒 Occasional Shoppers
12413.0,67,3,758.1,2,3,3,233,🛒 Occasional Shoppers
12414.0,217,3,562.41,1,3,2,132,🛒 Occasional Shoppers
12415.0,24,21,124914.53,3,4,4,344,🏆 High-Value Champions
12417.0,3,9,3649.1,4,4,4,444,🏆 High-Value Champions
12418.0,113,1,668.58,2,1,3,213,🛒 Occasional Shoppers
12420.0,64,1,600.39,2,1,2,212,🛒 Occasional Shoppers
12421.0,16,4,807.04,4,3,3,433,🔄 Loyal Regulars
12422.0,96,3,803.5600000000001,2,3,3,233,🛒 Occasional Shoppers
12423.0,1,8,1859.31,4,4,4,444,🏆 High-Value Champions
12424.0,163,2,1760.96,1,2,4,124,🛒 Occasional Shoppers
12425.0,78,1,777.2,2,1,3,213,🛒 Occasional Shoppers
12426.0,195,1,582.73,1,1,2,112,⚠️ At-Risk / Lost
12427.0,22,3,825.8,3,3,3,333,🔄 Loyal Regulars
12428.0,26,9,7956.46,3,4,4,344,🏆 High-Value Champions
12429.0,9,4,3750.4,4,3,4,434,🏆 High-Value Champions
12430.0,43,1,256.4,3,1,1,311,🛒 Occasional Shoppers
12431.0,36,15,6419.95,3,4,4,344,🏆 High-Value Champions
12432.0,43,5,5059.32,3,3,4,334,🔄 Loyal Regulars
12433.0,1,7,13375.87,4,4,4,444,🏆 High-Value Champions
12434.0,85,2,806.14,2,2,3,223,🛒 Occasional Shoppers
12435.0,80,2,7829.89,2,2,4,224,🛒 Occasional Shoppers
12436.0,100,1,509.01,2,1,2,212,🛒 Occasional Shoppers
12437.0,2,18,4951.41,4,4,4,444,🏆 High-Value Champions
12438.0,14,2,2906.85,4,2,4,424,🛒 Occasional Shoppers
12441.0,367,1,173.55,1,1,1,111,⚠️ At-Risk / Lost
12442.0,3,1,172.06,4,1,1,411,🛒 Occasional Shoppers
12444.0,21,5,5005.46,3,3,4,334,🔄 Loyal Regulars
12445.0,22,1,133.4,3,1,1,311,🛒 Occasional Shoppers
12446.0,58,1,1002.3100000000001,2,1,3,213,🛒 Occasional Shoppers
12447.0,243,1,476.49,1,1,2,112,⚠️ At-Risk / Lost
12448.0,44,1,449.45,3,1,2,312,🛒 Occasional Shoppers
12449.0,22,4,4067.29,3,3,4,334,🔄 Loyal Regulars
12450.0,156,2,197.88,1,2,1,121,⚠️ At-Risk / Lost
12451.0,11,5,9035.52,4,3,4,434,🏆 High-Value Champions
12452.0,17,2,430.57,4,2,2,422,🛒 Occasional Shoppers
12453.0,134,1,707.09,2,1,3,213,🛒 Occasional Shoppers
12454.0,56,1,3528.34,2,1,4,214,🛒 Occasional Shoppers
12455.0,73,6,2466.86,2,4,4,244,🛒 Occasional Shoppers
12456.0,44,3,3181.04,3,3,4,334,🔄 Loyal Regulars
12457.0,66,7,2363.23,2,4,4,244,🛒 Occasional Shoppers
12458.0,71,2,947.4,2,2,3,223,🛒 Occasional Shoppers
12461.0,94,2,826.88,2,2,3,223,🛒 Occasional Shoppers
12462.0,19,2,1189.59,3,2,3,323,🛒 Occasional Shoppers
12463.0,53,4,1344.78,2,3,3,233,🛒 Occasional Shoppers
12464.0,10,8,1212.05,4,4,3,443,🏆 High-Value Champions
12465.0,17,2,742.1899999999999,4,2,3,423,🛒 Occasional Shoppers
12468.0,188,2,729.5400000000001,1,2,3,123,🛒 Occasional Shoppers
12471.0,2,30,19788.65,4,4,4,444,🏆 High-Value Champions
12472.0,32,7,6572.11,3,4,4,344,🏆 High-Value Champions
12473.0,29,5,3928.0499999999997,3,3,4,334,🔄 Loyal Regulars
12474.0,17,18,7324.09,4,4,4,444,🏆 High-Value Champions
12475.0,54,1,723.38,2,1,3,213,🛒 Occasional Shoppers
12476.0,16,11,6816.42,4,4,4,444,🏆 High-Value Champions
